p_id,p_nombre,q_id,q_nombre,score_p_G0,score_q_G0,score_q_after_p,score_p_after_q,interaction_p_on_q,interaction_q_on_p,V_pq,V_qp,delta_order,abs_delta_order
MET-L08,Central,I11,JOSE JOAQUIN PEREZ,0.51574,0.402583,0.42373247550797233,0.52400252221428,0.021149475507972304,0.008262522214280033,0.9394724755079723,0.92658552221428,0.012886953293692271,0.012886953293692271
MET-L04,Radial,MET-L06,Diagonal Norte - Sur,0.768011,0.571155,0.5806709259236088,0.7648493511904699,0.009515925923608837,-0.003161648809530071,1.348681925923609,1.33600435119047,0.012677574733138908,0.012677574733138908
MET-L04,Radial,C066,CUATRO PONIENTE,0.768011,0.419639,0.4017032415818458,0.7626155080884234,-0.017935758418154202,-0.005395491911576622,1.1697142415818458,1.1822545080884233,-0.012540266506577469,0.012540266506577469
MET-L09,Rinconada Maipú - Cajon del Maipo,I01,BARÓN DE JURAS REALES,0.478703,0.379776,0.37977596927116425,0.48977994995848784,-3.072883575372387e-8,0.011076949958487847,0.8584789692711643,0.8695559499584878,-0.011076980687323545,0.011076980687323545
MET-L09,Rinconada Maipú - Cajon del Maipo,I16,MATTA-VESPUCIO NORTE,0.478703,0.404011,0.4040110951205431,0.48977994995848784,9.512054310878426e-8,0.011076949958487847,0.8827140951205431,0.8937909499584878,-0.011076854837944738,0.011076854837944738
MET-L09,Rinconada Maipú - Cajon del Maipo,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,0.478703,0.418101,0.41810116801331243,0.48977994995848784,1.6801331242932704e-7,0.011076949958487847,0.8968041680133124,0.9078809499584879,-0.011076781945175473,0.011076781945175473
MET-L09,Rinconada Maipú - Cajon del Maipo,I26,SAN PABLO,0.478703,0.448229,0.44822917686789615,0.48977994995848784,1.7686789616222498e-7,0.011076949958487847,0.9269321768678962,0.9380089499584878,-0.01107677309059163,0.01107677309059163
MET-L09,Rinconada Maipú - Cajon del Maipo,I11,JOSE JOAQUIN PEREZ,0.478703,0.402583,0.4025833200066329,0.48977994995848784,3.2000663285902675e-7,0.011076949958487847,0.8812863200066329,0.8923629499584879,-0.011076629951854988,0.011076629951854988
MET-L02,Mapocho,MET-L09,Rinconada Maipú - Cajon del Maipo,0.512509,0.478703,0.48977994995848784,0.512509368307018,0.011076949958487847,3.68307017994951e-7,1.002288949958488,0.991212368307018,0.011076581651469963,0.011076581651469963
MET-L09,Rinconada Maipú - Cajon del Maipo,I22,PEDRO FONTOVA,0.478703,0.372226,0.37222649178247563,0.48977994995848784,4.917824756311973e-7,0.011076949958487847,0.8509294917824757,0.8620059499584878,-0.011076458176012105,0.011076458176012105
MET-L08,Central,I30,WALKER - HUALLE - AGUIRRE,0.51574,0.366998,0.3777348271413189,0.5155270407068842,0.010736827141318905,-0.00021295929311582196,0.8934748271413189,0.8825250407068841,0.010949786434434783,0.010949786434434783
MET-L05,Diagonal San Bdo - La Dehesa,I14,LO OVALLE,0.633937,0.399958,0.4243926148691046,0.6474943675449747,0.024434614869104643,0.013557367544974719,1.0583296148691046,1.0474523675449747,0.010877247324129868,0.010877247324129868
MET-L08,Central,MET-L02,Mapocho,0.51574,0.512509,0.5337766325503652,0.5263716816401637,0.021267632550365234,0.010631681640163704,1.049516632550365,1.0388806816401637,0.01063595091020142,0.01063595091020142
I30,WALKER - HUALLE - AGUIRRE,C068,SAN CARLOS,0.366998,0.360859,0.35042816861772225,0.3669984617404216,-0.010430831382277739,4.6174042162006046e-7,0.7174261686177222,0.7278574617404217,-0.010431293122699414,0.010431293122699414
MET-L05,Diagonal San Bdo - La Dehesa,I30,WALKER - HUALLE - AGUIRRE,0.633937,0.366998,0.34554818498495987,0.6227891935182268,-0.02144981501504012,-0.01114780648177316,0.9794851849849598,0.9897871935182267,-0.010302008533266904,0.010302008533266904
MET-L06,Diagonal Norte - Sur,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,0.571155,0.418101,0.41189881365660763,0.5750697559247315,-0.0062021863433923685,0.003914755924731561,0.9830538136566076,0.9931707559247316,-0.010116942268123985,0.010116942268123985
MET-L07,Diagonal Padre Hurtado - Vitacura,C066,CUATRO PONIENTE,0.569592,0.419639,0.40096986203696255,0.5607717959054171,-0.01866913796303743,-0.00882020409458284,0.9705618620369625,0.9804107959054171,-0.009848933868454646,0.009848933868454646
MET-L04,Radial,I30,WALKER - HUALLE - AGUIRRE,0.768011,0.366998,0.37649979892835816,0.7680791855236971,0.009501798928358174,0.0000681855236971396,1.144510798928358,1.1350771855236972,0.009433613404660868,0.009433613404660868
MET-L03,Norte - Sur,I01,BARÓN DE JURAS REALES,0.718422,0.379776,0.3751114626431548,0.7227874833630494,-0.004664537356845189,0.004365483363049427,1.0935334626431548,1.1025634833630495,-0.009030020719894782,0.009030020719894782
MET-L06,Diagonal Norte - Sur,I14,LO OVALLE,0.571155,0.399958,0.3980973586339214,0.5781098001398886,-0.0018606413660785526,0.006954800139888584,0.9692523586339215,0.9780678001398886,-0.008815441505967136,0.008815441505967136
MET-L03,Norte - Sur,I16,MATTA-VESPUCIO NORTE,0.718422,0.404011,0.3988410965126171,0.72165203564174,-0.0051699034873828875,0.003230035641739959,1.1172630965126171,1.12566303564174,-0.008399939129122957,0.008399939129122957
MET-L03,Norte - Sur,MET-L07,Diagonal Padre Hurtado - Vitacura,0.718422,0.569592,0.556890011873367,0.7135610461897295,-0.012701988126633035,-0.0048609538102705185,1.275312011873367,1.2831530461897294,-0.007841034316362405,0.007841034316362405
MET-L03,Norte - Sur,MET-L08,Central,0.718422,0.51574,0.5374149732645987,0.7322689739521927,0.021674973264598774,0.013846973952192698,1.2558369732645986,1.2480089739521927,0.007827999312405964,0.007827999312405964
MET-L02,Mapocho,I30,WALKER - HUALLE - AGUIRRE,0.512509,0.366998,0.36333545807741796,0.5161723719700216,-0.00366254192258203,0.003663371970021645,0.875844458077418,0.8831703719700217,-0.00732591389260373,0.00732591389260373
I11,JOSE JOAQUIN PEREZ,I30,WALKER - HUALLE - AGUIRRE,0.402583,0.366998,0.36333545807741796,0.4062463236696366,-0.00366254192258203,0.0036633236696365645,0.765918458077418,0.7732443236696366,-0.0073258655922185945,0.0073258655922185945
MET-L01,Rinconada - Santuario,I30,WALKER - HUALLE - AGUIRRE,0.591949,0.366998,0.36333545807741796,0.5956119033833417,-0.00366254192258203,0.0036629033833417424,0.9552844580774179,0.9626099033833417,-0.007325445305923828,0.007325445305923828
MET-L05,Diagonal San Bdo - La Dehesa,C066,CUATRO PONIENTE,0.633937,0.419639,0.41963901647693164,0.6409526030425591,1.6476931652409377e-8,0.007015603042559104,1.0535760164769317,1.060591603042559,-0.007015586565627396,0.007015586565627396
MET-L05,Diagonal San Bdo - La Dehesa,I16,MATTA-VESPUCIO NORTE,0.633937,0.404011,0.4040110951205431,0.6409526030425591,9.512054310878426e-8,0.007015603042559104,1.037948095120543,1.044963603042559,-0.0070155079220159955,0.0070155079220159955
MET-L04,Radial,MET-L03,Norte - Sur,0.768011,0.718422,0.7287573945079284,0.7716069814877958,0.01033539450792842,0.0035959814877958296,1.4967683945079284,1.4900289814877958,0.00673941302013259,0.00673941302013259
MET-L07,Diagonal Padre Hurtado - Vitacura,I30,WALKER - HUALLE - AGUIRRE,0.569592,0.366998,0.3683593160524179,0.5647016914035355,0.0013613160524179047,-0.004890308596464443,0.9379513160524179,0.9316996914035356,0.006251624648882292,0.006251624648882292
MET-L03,Norte - Sur,MET-L01,Rinconada - Santuario,0.718422,0.591949,0.5975261768417696,0.7297319633233834,0.0055771768417696155,0.01130996332338341,1.3159481768417696,1.3216809633233835,-0.005732786481613905,0.005732786481613905
MET-L05,Diagonal San Bdo - La Dehesa,MET-L01,Rinconada - Santuario,0.633937,0.591949,0.5853803209580994,0.6328012704221568,-0.006568679041900505,-0.0011357295778431364,1.2193173209580994,1.224750270422157,-0.005432949464057479,0.005432949464057479
MET-L08,Central,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,0.51574,0.418101,0.40243285900833775,0.49469453269074437,-0.01566814099166225,-0.021045467309255605,0.9181728590083378,0.9127955326907444,0.005377326317593356,0.005377326317593356
MET-L09,Rinconada Maipú - Cajon del Maipo,I30,WALKER - HUALLE - AGUIRRE,0.478703,0.366998,0.3669984617404216,0.48396456534310317,4.6174042162006046e-7,0.005261565343103181,0.8457014617404216,0.8509625653431032,-0.005261103602681616,0.005261103602681616
MET-L04,Radial,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,0.768011,0.382805,0.3916069780897268,0.7717909427647927,0.00880197808972677,0.0037799427647926542,1.1596179780897269,1.1545959427647927,0.005022035324934171,0.005022035324934171
MET-L05,Diagonal San Bdo - La Dehesa,C068,SAN CARLOS,0.633937,0.360859,0.345616092047951,0.6235074873807321,-0.015242907952048967,-0.010429512619267833,0.9795530920479509,0.9843664873807321,-0.004813395332781134,0.004813395332781134
MET-L01,Rinconada - Santuario,I26,SAN PABLO,0.591949,0.448229,0.4516227572928797,0.5905464161951977,0.0033937572928797177,-0.0014025838048022932,1.0435717572928795,1.0387754161951976,0.0047963410976819,0.0047963410976819
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,0.418101,0.382805,0.35700770190617814,0.39697949433310176,-0.025797298093821863,-0.021121505666898244,0.7751087019061782,0.7797844943331018,-0.0046757924269236195,0.0046757924269236195
MET-L06,Diagonal Norte - Sur,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,0.571155,0.382805,0.3792480929855648,0.5718562025012578,-0.003556907014435229,0.0007012025012578249,0.9504030929855647,0.9546612025012577,-0.004258109515693054,0.004258109515693054
MET-L01,Rinconada - Santuario,MET-L06,Diagonal Norte - Sur,0.591949,0.571155,0.5721866990723559,0.5887226610327252,0.001031699072355896,-0.0032263389672747556,1.164135699072356,1.1598776610327253,0.004258038039630652,0.004258038039630652
MET-L07,Diagonal Padre Hurtado - Vitacura,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,0.569592,0.418101,0.3882773414028059,0.5439636730087446,-0.029823658597194103,-0.02562832699125539,0.9578693414028059,0.9620646730087445,-0.004195331605938657,0.004195331605938657
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I30,WALKER - HUALLE - AGUIRRE,0.418101,0.366998,0.3670390715939629,0.42208210411205965,0.00004107159396288251,0.003981104112059652,0.7851400715939629,0.7890801041120596,-0.003940032518096714,0.003940032518096714
I11,JOSE JOAQUIN PEREZ,I14,LO OVALLE,0.402583,0.399958,0.40460879498235375,0.4034870009484,0.0046507949823537675,0.0009040009483999856,0.8071917949823537,0.8034450009484,0.0037467940339537265,0.0037467940339537265
MET-L03,Norte - Sur,MET-L02,Mapocho,0.718422,0.512509,0.5165028685411197,0.7186895271577605,0.003993868541119716,0.000267527157760461,1.2349248685411198,1.2311985271577606,0.003726341383359255,0.003726341383359255
MET-L02,Mapocho,I14,LO OVALLE,0.512509,0.399958,0.40829040415796397,0.5171219960189077,0.00833240415796399,0.004612996018907745,0.9207994041579639,0.9170799960189078,0.003719408139056135,0.003719408139056135
MET-L07,Diagonal Padre Hurtado - Vitacura,I22,PEDRO FONTOVA,0.569592,0.372226,0.37222649178247563,0.5659286230760465,4.917824756311973e-7,-0.0036633769239534653,0.9418184917824757,0.9381546230760465,0.0036638687064292075,0.0036638687064292075
MET-L07,Diagonal Padre Hurtado - Vitacura,MET-L02,Mapocho,0.569592,0.512509,0.5125919924497925,0.566011247218821,0.00008299244979248499,-0.0035807527811789752,1.0821839924497925,1.0785202472188211,0.003663745230971349,0.003663745230971349
EP-ALAMEDA-T3,ALAMEDA TRAMO 3,I22,PEDRO FONTOVA,0.382805,0.372226,0.37222649178247563,0.37914182458127216,4.917824756311973e-7,-0.0036631754187278487,0.7550314917824756,0.7513678245812722,0.00366366720120348,0.00366366720120348
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I22,PEDRO FONTOVA,0.418101,0.372226,0.37222649178247563,0.4144381643503087,4.917824756311973e-7,-0.003662835649691276,0.7903274917824756,0.7866641643503087,0.0036633274321669074,0.0036633274321669074
I26,SAN PABLO,I22,PEDRO FONTOVA,0.448229,0.372226,0.37222649178247563,0.4445661732048925,4.917824756311973e-7,-0.0036628267951074878,0.8204554917824756,0.8167921732048925,0.0036633185775830635,0.0036633185775830635
EP-ALAMEDA-T3,ALAMEDA TRAMO 3,I01,BARÓN DE JURAS REALES,0.382805,0.379776,0.37977596927116425,0.37914182458127216,-3.072883575372387e-8,-0.0036631754187278487,0.7625809692711643,0.7589178245812722,0.0036631446898920395,0.0036631446898920395
I26,SAN PABLO,I01,BARÓN DE JURAS REALES,0.448229,0.379776,0.37977596927116425,0.4445661732048925,-3.072883575372387e-8,-0.0036628267951074878,0.8280049692711642,0.8243421732048926,0.003662796066271623,0.003662796066271623
I26,SAN PABLO,I30,WALKER - HUALLE - AGUIRRE,0.448229,0.366998,0.36333545807741796,0.44822917686789615,-0.00366254192258203,1.7686789616222498e-7,0.811564458077418,0.8152271768678961,-0.003662718790478192,0.003662718790478192
I01,BARÓN DE JURAS REALES,I30,WALKER - HUALLE - AGUIRRE,0.379776,0.366998,0.3669984617404216,0.38343897293416784,4.6174042162006046e-7,0.0036629729341678408,0.7467744617404216,0.7504369729341678,-0.003662511193746165,0.003662511193746165
MET-L03,Norte - Sur,C066,CUATRO PONIENTE,0.718422,0.419639,0.41963901647693164,0.7220220342496659,1.6476931652409377e-8,0.0036000342496659288,1.1380610164769316,1.1416610342496658,-0.003600017772734221,0.003600017772734221
MET-L06,Diagonal Norte - Sur,C068,SAN CARLOS,0.571155,0.360859,0.404212394470113,0.6180630287994978,0.043353394470112994,0.04690802879949785,0.9753673944701129,0.9789220287994977,-0.0035546343293848537,0.0035546343293848537
MET-L07,Diagonal Padre Hurtado - Vitacura,I14,LO OVALLE,0.569592,0.399958,0.3821542185376184,0.5553018212033167,-0.017803781462381596,-0.014290178796683262,0.9517462185376184,0.9552598212033168,-0.0035136026656983343,0.0035136026656983343
MET-L08,Central,I01,BARÓN DE JURAS REALES,0.51574,0.379776,0.3836475146899602,0.5161469622128033,0.0038715146899602204,0.0004069622128033412,0.8993875146899601,0.8959229622128033,0.0034645524771568237,0.0034645524771568237
I26,SAN PABLO,I11,JOSE JOAQUIN PEREZ,0.448229,0.402583,0.3304987264905644,0.3727456402184583,-0.07208427350943564,-0.07548335978154169,0.7787277264905643,0.7753286402184583,0.0033990862721060555,0.0033990862721060555
MET-L05,Diagonal San Bdo - La Dehesa,I01,BARÓN DE JURAS REALES,0.633937,0.379776,0.38343897293416784,0.6409526030425591,0.0036629729341678408,0.007015603042559104,1.0173759729341678,1.020728603042559,-0.0033526301083912635,0.0033526301083912635
MET-L05,Diagonal San Bdo - La Dehesa,I26,SAN PABLO,0.633937,0.448229,0.44822917686789615,0.6372895993795554,1.7686789616222498e-7,0.0033525993795554543,1.082166176867896,1.0855185993795553,-0.0033524225116592365,0.0033524225116592365
MET-L05,Diagonal San Bdo - La Dehesa,I22,PEDRO FONTOVA,0.633937,0.372226,0.3758894954454793,0.6409526030425591,0.003663495445479281,0.007015603042559104,1.0098264954454792,1.0131786030425591,-0.003352107597079934,0.003352107597079934
C066,CUATRO PONIENTE,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,0.419639,0.382805,0.3795740590135066,0.41963901647693164,-0.0032309409864934024,1.6476931652409377e-8,0.7992130590135066,0.8024440164769316,-0.003230957463425055,0.003230957463425055
MET-L08,Central,I22,PEDRO FONTOVA,0.51574,0.372226,0.3761503723928594,0.5164349634728822,0.003924372392859421,0.0006949634728822263,0.8918903723928594,0.8886609634728821,0.00322940891997725,0.00322940891997725
MET-L01,Rinconada - Santuario,I11,JOSE JOAQUIN PEREZ,0.591949,0.402583,0.40566029615990634,0.5919425483673714,0.0030772961599063176,-0.000006451632628579063,0.9976092961599063,0.9945255483673714,0.003083747792534952,0.003083747792534952
I26,SAN PABLO,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,0.448229,0.382805,0.38241851536115695,0.45083852842962213,-0.0003864846388430543,0.0026095284296221433,0.830647515361157,0.8336435284296222,-0.0029960130684651975,0.0029960130684651975
