strategy,step,id,nombre,initial_rank,current_rank,delta_rank_improvement,initial_score,current_score,delta_score_vs_G0,selected_this_step,originally_in_fixed_topN
eva_adaptive_open,1,C009,EL ROSAL - SANTA ELENA,92,92,0,0.258292338870139,0.258292338870139,0,false,false
eva_adaptive_open,1,C076,ISLA DECEPCION,93,93,0,0.25765035826791644,0.25765035826791644,0,false,false
eva_adaptive_open,1,C002,CAPITAN IGNACIO CARRERA PINTO,94,94,0,0.2546555618818747,0.2546555618818747,0,false,false
eva_adaptive_open,1,C048,GENERAL ARRIAGADA,95,95,0,0.2517348978903142,0.2517348978903142,0,false,false
eva_adaptive_open,1,C033,OBSERVATORIO,96,96,0,0.25172362934577086,0.25172362934577086,0,false,false
eva_adaptive_open,1,I03,CARRASCAL,97,97,0,0.24854515940907576,0.24854515940907576,0,false,false
eva_adaptive_open,1,C054,VICTORIA,98,98,0,0.24818166256108362,0.24818166256108362,0,false,false
eva_adaptive_open,1,C017,LA PARINACOTA,99,99,0,0.24787162646529243,0.24787162646529243,0,false,false
eva_adaptive_open,1,C056,TEMUCO - TORO MAZOTTE,100,100,0,0.2468166288620158,0.2468166288620158,0,false,false
eva_adaptive_open,1,C038,TALCAHUANO - SANTA INES - LOS EDILES,101,101,0,0.24550764665869662,0.24550764665869662,0,false,false
eva_adaptive_open,1,C026,LOS MAITENES,102,102,0,0.24476449972018605,0.24476449972018605,0,false,false
eva_adaptive_open,1,C031,NECOCHEA,103,103,0,0.24437487011116932,0.24437487011116932,0,false,false
eva_adaptive_open,1,C071,BARROS ARANA,104,104,0,0.2432718387690382,0.2432718387690382,0,false,false
eva_adaptive_open,1,C082,CAUPOLICAN,105,105,0,0.24201028797730914,0.24201028797730914,0,false,false
eva_adaptive_open,1,C080,PARAGUAY,106,106,0,0.2404621201898296,0.2404621201898296,0,false,false
eva_adaptive_open,1,C036,RIO REFUGIO - SALAR SURIRE,107,107,0,0.23882288406802515,0.23882288406802515,0,false,false
eva_adaptive_open,1,C077,RICARDO VIAL,108,108,0,0.23530100578344948,0.23530100578344948,0,false,false
eva_adaptive_open,1,C012,GABRIELA ORIENTE,109,109,0,0.23493763531224565,0.23493763531224565,0,false,false
eva_adaptive_open,1,C019,LAS HIJUELAS SUR - LIBERTADOR BERNARDO OHIGGINS,110,110,0,0.23151138733257812,0.23151138733257812,0,false,false
eva_adaptive_open,1,C051,JOSE MIGUEL INFANTE - DOMINGO STA MARIA,111,111,0,0.22770327755636682,0.22770327755636682,0,false,false
eva_adaptive_open,1,C008,EL CERRO,112,112,0,0.22664145134727998,0.22664145134727998,0,false,false
eva_adaptive_open,1,C039,TUPUNGATO,113,113,0,0.22275270275256875,0.22275270275256875,0,false,false
eva_adaptive_open,1,C072,COVADONGA,114,114,0,0.2222660174854263,0.2222660174854263,0,false,false
eva_adaptive_open,1,C010,ESQ BLANCA - ALBERTO LLONA,115,115,0,0.219488334536514,0.219488334536514,0,false,false
eva_adaptive_open,1,C084,EL PINO - UNO SUR,116,116,0,0.21625589427110412,0.21625589427110412,0,false,false
eva_adaptive_open,1,C021,LAUTARO,117,117,0,0.20904169103894277,0.20904169103894277,0,false,false
eva_adaptive_open,1,C055,ARTURO PRAT,118,118,0,0.1970214926913857,0.1970214926913857,0,false,false
eva_adaptive_open,1,C085,LOS LIBERTADORES,119,119,0,0.19011991189992178,0.19011991189992178,0,false,false
eva_adaptive_open,1,C018,LA PRIMAVERA,120,120,0,0.18728903995307272,0.18728903995307272,0,false,false
eva_adaptive_open,1,C045,PORTO ALEGRE,121,121,0,0.1789631843926075,0.1789631843926075,0,false,false
eva_adaptive_open,1,C025,LOS DURAZNOS,122,122,0,0.17773769788730326,0.17773769788730326,0,false,false
eva_adaptive_open,1,C073,LOS MORROS,123,123,0,0.16537203853610075,0.16537203853610075,0,false,false
eva_adaptive_open,1,C016,JUANITA,124,124,0,0.15869954711149178,0.15869954711149178,0,false,false
