id,nombre,initial_rank,initial_score,selected_step,observed_steps_before_selection_or_end,max_score_increase_vs_G0,max_score_drop_vs_G0,best_rank_improvement,worst_rank_change,last_observed_rank,last_observed_score,originally_in_fixed_topN
I19,PAC-LO ESPEJO-SN BDO,27,0.41460848628355157,11,11,0.14776067080834282,0,26,0,1,0.5623691570918944,true
I10,GRAN AVENIDA,28,0.40682183317748805,15,15,0.11897634218658043,0,27,0,1,0.5257981753640685,true
C058,ANTONIO EBNER-BARROS ARANA,29,0.40679457494201116,,30,0.009839035510690541,-0.0789864304487603,11,-14,28,0.32780814449325085,true
EP-I33,LA CHIMBA,30,0.4043195865206677,22,22,0.03467665621610316,0,29,0,1,0.4333992278113977,true
I06,DIAGONAL ORIENTE,31,0.40267663972498335,24,24,0.04050228391745114,0,30,0,1,0.4431789236424345,false
I04,DEL FERROCARRIL,32,0.3940478916997146,12,12,0.17801686370341502,0,31,0,1,0.5720647554031296,false
C081,SAN GREGORIO - DIEGO MEZA,33,0.38932341506856066,,30,0.023068623601323,-0.049692570428527816,18,0,15,0.3620189043415254,false
C070,MENDOZA (EX-CORONEL ROBLES),34,0.387202115587132,,30,0.02917098611534874,-0.027644661740987064,30,0,4,0.4050205586776194,false
C029,MARIA ELENA,35,0.3866330072050211,,30,0.036652452464972785,-0.08110741593584486,19,-14,18,0.35607948736774636,false
C061,EL PINAR,36,0.38117344530336017,,30,0.023068623601322946,-0.04969257042852787,19,0,20,0.35386893457632485,false
C050,MAR DE DRAKE,37,0.3754671127887729,,30,0,-0.09083081430737067,4,-36,73,0.28463629848140226,false
C003,CONCHA Y TORO,38,0.3709576416282776,,30,0.03531002085328272,-0.1340543251594753,18,-61,50,0.3043952955417027,false
C024,LOS ARRAYANES - LOS COPIHUES,39,0.369297779392275,,30,0,-0.07831626425815108,4,-29,35,0.3164169532190636,false
C086,LA ESTRELLA,40,0.36814789692769634,23,23,0.1289314752261469,-0.01375303617070861,39,0,1,0.49707937215384324,false
C032,OBISPO MANUEL UMAÑA,41,0.36167847000046166,,30,0.016555103996435006,-0.053381310920326275,17,-16,24,0.3439486611922651,false
I27,SANTA CECILIA - NONATO COO,42,0.36006768212709356,17,17,0.14889625772462983,0,41,0,1,0.5089639398517234,false
I25,SAN FRANCISCO,43,0.3566735624368237,20,20,0.10847715060513596,0,42,0,1,0.4392701160270343,false
C044,LOS CERRILLOS,44,0.355273233150638,,30,0.0004940604711023977,-0.06215218557918872,11,-26,67,0.2931210475714493,false
C043,NEPTUNO,45,0.35474887854437137,,30,0,-0.06716417910447758,18,-27,27,0.33367397332944054,false
I17,MATUCANA,46,0.3532790270795219,,30,0.03498039371155415,0,37,0,9,0.38825942079107606,false
C053,CONDELL,47,0.3532028448920026,,30,0.10092576648287627,-0.06195372114608627,39,-24,16,0.35841330285039397,false
C023,AVENIDA DORSAL,48,0.34913804016037303,,30,0.07075830130966287,-0.04537171072146484,24,-14,43,0.3066800306129391,false
C014,JOSE DOMINGO CAÑAS,49,0.3434151720257287,,30,0.0019276312166107146,0,28,0,21,0.3453428032423394,false
C083,ORIENTAL-LAS PARCELAS,50,0.33400841178333013,,30,0.03934570518748476,-0.00888108855916292,32,0,29,0.3251273232241672,false
C078,WALDO TAFF,51,0.33255806783730496,,30,0,-0.06845985377678476,0,-38,77,0.2640982140605202,false
C001,SAN EUGENIO,52,0.3301050844306759,,30,0,-0.016952828110370632,16,0,39,0.31315225632030524,false
C049,FEDERICO ERRÁZURIZ (EX SERRANO),53,0.32905890532348764,,30,0.2316914217509803,-0.03258046607626364,49,-10,13,0.37007513583708684,false
I13,LO ESPEJO-RIQUELME,54,0.32833080195639963,,30,0.09570450425684451,0,47,0,22,0.3452231117284989,false
C041,VISTA HERMOSA,55,0.32433865422117386,,30,0.029557709947291955,-0.08704819342497988,22,-43,86,0.23729046079619398,false
C007,EDUARDO CASTILLO VELASCO,56,0.3209682481807713,,30,0.0003855262433221651,0,24,0,32,0.32135377442409346,false
C067,CARDENAL RAUL SILVA HENRIQUEZ,57,0.31744308727562154,6,6,0.2349033596861595,0,56,0,1,0.552346446961781,false
C074,URETA COX,58,0.31449957814869145,,30,0,0,21,0,37,0.31449957814869145,false
C090,SANTO DOMINGO,59,0.3106717940498921,,30,0.02985720340573572,-0.020610010274200785,21,-15,71,0.2900617837756913,false
C005,CORONEL ALEJANDRO SEPULVEDA,60,0.3106497256836105,,30,0,0,20,0,40,0.3106497256836105,false
C088,ÑUBLE,61,0.30596663776619404,,30,0.0003855262433221651,0,16,0,45,0.3063521640095162,false
C020,LATINOAMERICA - PINTOR MURILLO - FRANCISCO TOLEDO,62,0.3053874986899725,,30,0,0,14,0,48,0.3053874986899725,false
C028,MADRID,63,0.3053850663175511,,30,0.0003855262433221096,0,16,0,47,0.3057705925608732,false
C034,PEDRO LEON UGALDE,64,0.30513444215224494,,30,0.0007710524866442747,0,18,0,46,0.3059054946388892,false
C037,SAN ALFONSO,65,0.3032697592490899,,30,0,0,13,0,52,0.3032697592490899,false
C030,MAULE,66,0.30294715823212187,,30,0.0003855262433221651,0,15,0,51,0.30333268447544404,false
C042,PRINCIPE DE GALES,67,0.3015275299366899,,30,0,0,13,0,54,0.3015275299366899,false
C087,SALVADOR GUTIERREZ,68,0.2988400180747415,,30,0,-0.06716417910447756,4,-38,85,0.24225656888983763,false
I28,SANTA RAQUEL,69,0.2960140924026152,,30,0,-0.01831786491641063,4,-10,75,0.2776962274862046,false
C013,HEROES DE LA CONCEPCION,70,0.29161502323158384,,30,0,0,7,-2,68,0.29161502323158384,false
C027,LOS PRESIDENTES,71,0.2903073892430075,,30,0,0,6,-3,70,0.2903073892430075,false
I32,EINSTEIN,72,0.2891830343121434,,30,0.10224604484902083,-0.005597014925373123,64,-6,8,0.39142907916116426,false
C004,CONSISTORIAL,73,0.28796525159755554,,30,0.0029664721894228085,0,9,0,69,0.29093172378697835,false
I23,PETERSEN - VICUÑA MACKENNA,74,0.28720997267232284,,30,0.10526380739881314,0,67,-1,7,0.392473780071136,false
C063,LONGITUDINAL,75,0.28538182252354,29,29,0.13788281254805795,0,74,-1,1,0.42326463507159795,false
C015,JOSE MANUEL GUZMAN,76,0.2845092001303485,,30,0.03620905376991507,0,43,0,33,0.3207182539002636,false
C046,EUCALIPTOS,77,0.2836213631052964,26,26,0.16740865539347938,-0.003439589530308762,76,-1,1,0.4510300184987758,false
C022,LLANURA  - EL DESIERTO,78,0.2832694397879176,,30,0,0,8,-1,74,0.2832694397879176,false
I18,NUEVA IMPERIAL,79,0.28249960315815087,,30,0.10160127945611558,-0.011152085153673497,55,-3,26,0.33426053460597166,false
I31,FERNANDEZ ALBANO,80,0.27793271006427517,,30,0.08277991852482752,0,61,0,42,0.3067365280286479,false
C035,PRODIVENCIA,81,0.27556952254522565,28,28,0.1638206908171056,0,80,0,1,0.43939021336233125,false
C052,BAQUEDANO - POSTALES ORIENTE,82,0.2725119994529144,27,27,0.18147536973147088,0,81,0,1,0.45398736918438526,false
C062,CORONA SUECA,83,0.27233361403980005,,30,0,-0.020982427705002138,2,-15,81,0.2513511863347979,false
C089,J J PEREZ,84,0.26495488367176884,25,25,0.1598794339267922,-0.0010946987925252172,83,-1,1,0.42483431759856105,false
C064,SILVA CARVALLO - SANTA ELENA,85,0.264928178794096,,30,0.03178485575802481,0,27,0,61,0.29671303455212084,false
C047,VIOLETA PARRA,86,0.2648001936107111,,30,0.05712672798369772,0,55,0,31,0.32192692159440883,false
C079,LAS AMERICAS,87,0.26410913255677176,,30,0.02944900285216001,0,22,0,66,0.2935581354089318,false
C40,VICUÑA MACKENNA - SAN MARTIN,88,0.2599804114545511,,30,0.0563556754970535,0,52,-2,36,0.3163360869516046,false
C011,EYZAGUIRRE,89,0.2597262361382782,,30,0.16093846861176808,0,83,-2,59,0.297330981511338,false
C069,LOS OLMOS,90,0.2594151168255869,,30,0,0,12,-2,78,0.2594151168255869,false
C065,NUEVA SAN MARTIN,91,0.2588125082913236,,30,0.03502793954290706,0,31,-2,65,0.29384044783423063,false
C009,EL ROSAL - SANTA ELENA,92,0.258292338870139,,30,0.05597014925373134,0,54,-2,38,0.31426248812387036,false
C076,ISLA DECEPCION,93,0.25765035826791644,,30,0.043179689397151055,-0.01279045985658031,38,-10,55,0.3008300476650675,false
C002,CAPITAN IGNACIO CARRERA PINTO,94,0.2546555618818747,,30,0,0,15,-1,79,0.2546555618818747,false
C048,GENERAL ARRIAGADA,95,0.2517348978903142,,30,0,0,15,-1,80,0.2517348978903142,false
C033,OBSERVATORIO,96,0.25172362934577086,,30,0.05674120174037561,0,55,-1,41,0.3084648310861465,false
I03,CARRASCAL,97,0.24854515940907576,,30,0,0,14,-2,83,0.24854515940907576,false
C054,VICTORIA,98,0.24818166256108362,,30,0.14076826494685327,-0.001094698792525245,88,-2,53,0.30233654046708713,false
C017,LA PARINACOTA,99,0.24787162646529243,,30,0,-0.019918231028960814,12,-4,87,0.2279533954363316,false
C056,TEMUCO - TORO MAZOTTE,100,0.2468166288620158,,30,0.1323477814461693,0,88,-2,12,0.3791644103081851,false
C038,TALCAHUANO - SANTA INES - LOS EDILES,101,0.24550764665869662,,30,0.07044855217793461,-0.011152085153673497,55,-7,63,0.29573880114313694,false
C026,LOS MAITENES,102,0.24476449972018605,,30,0.07390763788322041,0,68,0,34,0.31867213760340646,false
C031,NECOCHEA,103,0.24437487011116932,,30,0.049845628241118156,-0.011152085153673497,44,-6,64,0.2942204983522875,false
C071,BARROS ARANA,104,0.2432718387690382,,30,0.056102015197089045,-0.0006391865432865407,47,0,57,0.29937385396612726,false
C082,CAUPOLICAN,105,0.24201028797730914,,30,0.17354866921748854,0,101,0,25,0.3343157551872506,false
C080,PARAGUAY,106,0.2404621201898296,,30,0.06612216061392562,0,62,0,44,0.3065842808037552,false
C036,RIO REFUGIO - SALAR SURIRE,107,0.23882288406802515,,30,0,-0.015138193441195491,18,-3,89,0.22368469062682966,false
C077,RICARDO VIAL,108,0.23530100578344948,,30,0,-0.01195605395100971,18,-4,90,0.22334495183243977,false
C012,GABRIELA ORIENTE,109,0.23493763531224565,,30,0.0700923958993328,-0.01962227859876331,53,0,82,0.2504161476776965,false
C019,LAS HIJUELAS SUR - LIBERTADOR BERNARDO OHIGGINS,110,0.23151138733257812,,30,0.11923352583209343,0,83,0,49,0.3046576882387051,false
C051,JOSE MIGUEL INFANTE - DOMINGO STA MARIA,111,0.22770327755636682,,30,0.19938493582483985,0,109,0,14,0.36225545913485363,false
C008,EL CERRO,112,0.22664145134727998,,30,0,0,24,0,88,0.22664145134727998,false
C039,TUPUNGATO,113,0.22275270275256875,,30,0.07446508233739052,0,56,0,60,0.2972177850899593,false
C072,COVADONGA,114,0.2222660174854263,,30,0.13246680329049015,0,90,0,62,0.29579784463487546,false
C010,ESQ BLANCA - ALBERTO LLONA,115,0.219488334536514,,30,0.13269352680203866,0,94,0,72,0.2850176822340751,false
C084,EL PINO - UNO SUR,116,0.21625589427110412,,30,0.10756863180320411,0,77,0,56,0.30047126787027795,false
C021,LAUTARO,117,0.20904169103894277,,30,0.07357406759990409,0,44,0,84,0.24315278721380412,false
C055,ARTURO PRAT,118,0.1970214926913857,,30,0.10074584928967051,0,60,0,58,0.2977673419810562,false
C085,LOS LIBERTADORES,119,0.19011991189992178,,30,0.08378252605494002,0,43,0,76,0.2739024379548618,false
C018,LA PRIMAVERA,120,0.18728903995307272,,30,0.000004998021296220845,0,28,0,92,0.18729403797436894,false
C045,PORTO ALEGRE,121,0.1789631843926075,,30,0.033678717963965016,0,30,0,91,0.21264190235657252,false
C025,LOS DURAZNOS,122,0.17773769788730326,,30,0.00005747724490612338,0,28,0,94,0.17779517513220938,false
C073,LOS MORROS,123,0.16537203853610075,,30,0,0,28,0,95,0.16537203853610075,false
C016,JUANITA,124,0.15869954711149178,,30,0.027990072648161862,0,31,0,93,0.18668961975965365,false
