rank,id,nombre,escala,score,costo_mclp
47,C053,CONDELL,Comunal,0.3532028448920026,280
48,C023,AVENIDA DORSAL,Comunal,0.34913804016037303,308
49,C014,JOSE DOMINGO CAÑAS,Comunal,0.3434151720257287,259
50,C083,ORIENTAL-LAS PARCELAS,Comunal,0.33400841178333013,392
51,C078,WALDO TAFF,Comunal,0.33255806783730496,157
52,C001,SAN EUGENIO,Comunal,0.3301050844306759,114
53,C049,FEDERICO ERRÁZURIZ (EX SERRANO),Comunal,0.32905890532348764,332
54,I13,LO ESPEJO-RIQUELME,Intercomunal,0.32833080195639963,700
55,C041,VISTA HERMOSA,Comunal,0.32433865422117386,114
56,C007,EDUARDO CASTILLO VELASCO,Comunal,0.3209682481807713,409
57,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,0.31744308727562154,332
58,C074,URETA COX,Comunal,0.31449957814869145,161
59,C090,SANTO DOMINGO,Comunal,0.3106717940498921,150
60,C005,CORONEL ALEJANDRO SEPULVEDA,Comunal,0.3106497256836105,146
61,C088,ÑUBLE,Comunal,0.30596663776619404,207
62,C020,LATINOAMERICA - PINTOR MURILLO - FRANCISCO TOLEDO,Comunal,0.3053874986899725,144
63,C028,MADRID,Comunal,0.3053850663175511,129
64,C034,PEDRO LEON UGALDE,Comunal,0.30513444215224494,130
65,C037,SAN ALFONSO,Comunal,0.3032697592490899,201
66,C030,MAULE,Comunal,0.30294715823212187,185
67,C042,PRINCIPE DE GALES,Comunal,0.3015275299366899,190
68,C087,SALVADOR GUTIERREZ,Comunal,0.2988400180747415,81
69,I28,SANTA RAQUEL,Intercomunal,0.2960140924026152,300
70,C013,HEROES DE LA CONCEPCION,Comunal,0.29161502323158384,87
71,C027,LOS PRESIDENTES,Comunal,0.2903073892430075,254
72,I32,EINSTEIN,Intercomunal,0.2891830343121434,366
73,C004,CONSISTORIAL,Comunal,0.28796525159755554,563
74,I23,PETERSEN - VICUÑA MACKENNA,Intercomunal,0.28720997267232284,361
75,C063,LONGITUDINAL,Comunal,0.28538182252354,192
76,C015,JOSE MANUEL GUZMAN,Comunal,0.2845092001303485,202
77,C046,EUCALIPTOS,Comunal,0.2836213631052964,206
78,C022,LLANURA  - EL DESIERTO,Comunal,0.2832694397879176,122
79,I18,NUEVA IMPERIAL,Intercomunal,0.28249960315815087,290
80,I31,FERNANDEZ ALBANO,Intercomunal,0.27793271006427517,238
81,C035,PRODIVENCIA,Comunal,0.27556952254522565,33
82,C052,BAQUEDANO - POSTALES ORIENTE,Comunal,0.2725119994529144,259
83,C062,CORONA SUECA,Comunal,0.27233361403980005,280
84,C089,J J PEREZ,Comunal,0.26495488367176884,198
85,C064,SILVA CARVALLO - SANTA ELENA,Comunal,0.264928178794096,545
86,C047,VIOLETA PARRA,Comunal,0.2648001936107111,240
87,C079,LAS AMERICAS,Comunal,0.26410913255677176,137
88,C40,VICUÑA MACKENNA - SAN MARTIN,Comunal,0.2599804114545511,168
89,C011,EYZAGUIRRE,Comunal,0.2597262361382782,284
90,C069,LOS OLMOS,Comunal,0.2594151168255869,167
91,C065,NUEVA SAN MARTIN,Comunal,0.2588125082913236,179
92,C009,EL ROSAL - SANTA ELENA,Comunal,0.258292338870139,169
93,C076,ISLA DECEPCION,Comunal,0.25765035826791644,97
94,C002,CAPITAN IGNACIO CARRERA PINTO,Comunal,0.2546555618818747,162
95,C048,GENERAL ARRIAGADA,Comunal,0.2517348978903142,148
96,C033,OBSERVATORIO,Comunal,0.25172362934577086,207
97,I03,CARRASCAL,Intercomunal,0.24854515940907576,442
98,C054,VICTORIA,Comunal,0.24818166256108362,249
99,C017,LA PARINACOTA,Comunal,0.24787162646529243,465
100,C056,TEMUCO - TORO MAZOTTE,Comunal,0.2468166288620158,186
101,C038,TALCAHUANO - SANTA INES - LOS EDILES,Comunal,0.24550764665869662,90
102,C026,LOS MAITENES,Comunal,0.24476449972018605,150
103,C031,NECOCHEA,Comunal,0.24437487011116932,56
104,C071,BARROS ARANA,Comunal,0.2432718387690382,177
105,C082,CAUPOLICAN,Comunal,0.24201028797730914,118
106,C080,PARAGUAY,Comunal,0.2404621201898296,273
107,C036,RIO REFUGIO - SALAR SURIRE,Comunal,0.23882288406802515,45
108,C077,RICARDO VIAL,Comunal,0.23530100578344948,54
109,C012,GABRIELA ORIENTE,Comunal,0.23493763531224565,134
110,C019,LAS HIJUELAS SUR - LIBERTADOR BERNARDO OHIGGINS,Comunal,0.23151138733257812,137
111,C051,JOSE MIGUEL INFANTE - DOMINGO STA MARIA,Comunal,0.22770327755636682,235
112,C008,EL CERRO,Comunal,0.22664145134727998,206
113,C039,TUPUNGATO,Comunal,0.22275270275256875,63
114,C072,COVADONGA,Comunal,0.2222660174854263,143
115,C010,ESQ BLANCA - ALBERTO LLONA,Comunal,0.219488334536514,49
116,C084,EL PINO - UNO SUR,Comunal,0.21625589427110412,166
117,C021,LAUTARO,Comunal,0.20904169103894277,342
118,C055,ARTURO PRAT,Comunal,0.1970214926913857,101
119,C085,LOS LIBERTADORES,Comunal,0.19011991189992178,177
120,C018,LA PRIMAVERA,Comunal,0.18728903995307272,183
121,C045,PORTO ALEGRE,Comunal,0.1789631843926075,125
122,C025,LOS DURAZNOS,Comunal,0.17773769788730326,128
123,C073,LOS MORROS,Comunal,0.16537203853610075,335
124,C016,JUANITA,Comunal,0.15869954711149178,123
