strategy,transition_step,source_id,source_nombre,target_id,target_nombre,score_before,score_after,delta_score,rank_before,rank_after,delta_rank_improvement,relation
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C083,ORIENTAL-LAS PARCELAS,0.33400841178333013,0.33400841178333013,0,50,46,4,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C078,WALDO TAFF,0.33255806783730496,0.29534911261342445,-0.03720895522388051,51,66,-15,substitution_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C001,SAN EUGENIO,0.3301050844306759,0.3301050844306759,0,52,47,5,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C049,FEDERICO ERRÁZURIZ (EX SERRANO),0.32905890532348764,0.32905890532348764,0,53,48,5,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I13,LO ESPEJO-RIQUELME,0.32833080195639963,0.32833080195639963,0,54,49,5,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C041,VISTA HERMOSA,0.32433865422117386,0.31412803040111625,-0.010210623820057607,55,53,2,substitution_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C007,EDUARDO CASTILLO VELASCO,0.3209682481807713,0.3209682481807713,0,56,50,6,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C067,CARDENAL RAUL SILVA HENRIQUEZ,0.31744308727562154,0.31744308727562154,0,57,51,6,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C074,URETA COX,0.31449957814869145,0.31449957814869145,0,58,52,6,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C090,SANTO DOMINGO,0.3106717940498921,0.3106717940498921,0,59,55,4,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C005,CORONEL ALEJANDRO SEPULVEDA,0.3106497256836105,0.3106497256836105,0,60,56,4,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C088,ÑUBLE,0.30596663776619404,0.30596663776619404,0,61,57,4,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C020,LATINOAMERICA - PINTOR MURILLO - FRANCISCO TOLEDO,0.3053874986899725,0.3053874986899725,0,62,58,4,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C028,MADRID,0.3053850663175511,0.3053850663175511,0,63,59,4,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C034,PEDRO LEON UGALDE,0.30513444215224494,0.30513444215224494,0,64,60,4,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C037,SAN ALFONSO,0.3032697592490899,0.3032697592490899,0,65,61,4,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C030,MAULE,0.30294715823212187,0.30294715823212187,0,66,62,4,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C042,PRINCIPE DE GALES,0.3015275299366899,0.3015275299366899,0,67,63,4,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C087,SALVADOR GUTIERREZ,0.2988400180747415,0.2988400180747415,0,68,64,4,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I28,SANTA RAQUEL,0.2960140924026152,0.2960140924026152,0,69,65,4,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C013,HEROES DE LA CONCEPCION,0.29161502323158384,0.29161502323158384,0,70,67,3,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C027,LOS PRESIDENTES,0.2903073892430075,0.2903073892430075,0,71,70,1,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I32,EINSTEIN,0.2891830343121434,0.2891830343121434,0,72,71,1,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C004,CONSISTORIAL,0.28796525159755554,0.29093172378697835,0.0029664721894228085,73,69,4,complementarity_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I23,PETERSEN - VICUÑA MACKENNA,0.28720997267232284,0.28720997267232284,0,74,73,1,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C063,LONGITUDINAL,0.28538182252354,0.28538182252354,0,75,74,1,neutral
