scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
eficiencia,Eficiencia presupuestaria,50,C022,LLANURA  - EL DESIERTO,Comunal,53,0.39469834508075563,0,0,0,39,3,111,-2,2,31,122,20895,544950,829986,3705
eficiencia,Eficiencia presupuestaria,51,C084,EL PINO - UNO SUR,Comunal,108,0.39390772282095593,4313,4313,2229,33,1,111,0,0,31,166,21061,549263,832215,3738
eficiencia,Eficiencia presupuestaria,52,EP-I33,LA CHIMBA,Intercomunal,107,0.39338850711411844,4379,11547,6804,198,2,110,-1,1,32,971,22032,553642,839019,3936
eficiencia,Eficiencia presupuestaria,53,C082,CAUPOLICAN,Comunal,89,0.39521138909713166,2416,2416,1394,12,1,110,0,0,32,118,22150,556058,840413,3948
eficiencia,Eficiencia presupuestaria,54,C026,LOS MAITENES,Comunal,92,0.3928913988666781,0,6013,3587,30,2,109,-1,1,33,150,22300,556058,844000,3978
eficiencia,Eficiencia presupuestaria,55,C037,SAN ALFONSO,Comunal,59,0.38792420374721703,0,0,0,19,1,109,0,0,33,201,22501,556058,844000,3997
eficiencia,Eficiencia presupuestaria,56,C036,RIO REFUGIO - SALAR SURIRE,Comunal,79,0.3878096216160224,0,0,0,3,1,109,0,0,33,45,22546,556058,844000,4000
eficiencia,Eficiencia presupuestaria,57,C077,RICARDO VIAL,Comunal,86,0.3874147471394419,0,0,0,10,1,109,0,0,33,54,22600,556058,844000,4010
eficiencia,Eficiencia presupuestaria,58,C078,WALDO TAFF,Comunal,35,0.38726188893003255,0,0,0,48,1,109,0,0,33,157,22757,556058,844000,4058
eficiencia,Eficiencia presupuestaria,59,I09,GENERAL VELASQUEZ,Intercomunal,49,0.38716711309657165,735,13323,5298,70,1,109,0,0,33,643,23400,556793,849298,4128
eficiencia,Eficiencia presupuestaria,60,C039,TUPUNGATO,Comunal,98,0.3870273032950452,0,0,0,20,1,109,0,0,33,63,23463,556793,849298,4148
eficiencia,Eficiencia presupuestaria,61,C031,NECOCHEA,Comunal,75,0.3857531354723196,0,0,0,9,1,109,0,0,33,56,23519,556793,849298,4157
eficiencia,Eficiencia presupuestaria,62,C050,MAR DE DRAKE,Comunal,15,0.38561573579233005,4898,13275,3359,31,1,109,0,0,33,177,23696,561691,852657,4188
eficiencia,Eficiencia presupuestaria,63,C076,ISLA DECEPCION,Comunal,70,0.38502348794034036,0,0,0,19,1,109,0,0,33,97,23793,561691,852657,4207
eficiencia,Eficiencia presupuestaria,64,C005,CORONEL ALEJANDRO SEPULVEDA,Comunal,61,0.38278779485415276,0,0,0,49,1,109,0,0,33,146,23939,561691,852657,4256
eficiencia,Eficiencia presupuestaria,65,C021,LAUTARO,Comunal,123,0.38258871093290503,3726,3726,2093,16,1,109,0,0,33,342,24281,565417,854750,4272
eficiencia,Eficiencia presupuestaria,66,C028,MADRID,Comunal,64,0.3817042519074353,0,0,0,45,1,109,0,0,33,129,24410,565417,854750,4317
eficiencia,Eficiencia presupuestaria,67,C034,PEDRO LEON UGALDE,Comunal,66,0.3820898433243396,0,0,0,51,1,109,0,0,33,130,24540,565417,854750,4368
eficiencia,Eficiencia presupuestaria,68,C038,TALCAHUANO - SANTA INES - LOS EDILES,Comunal,81,0.3816445832727558,0,0,0,17,1,109,0,0,33,90,24630,565417,854750,4385
eficiencia,Eficiencia presupuestaria,69,C055,ARTURO PRAT,Comunal,109,0.38129778818403165,0,0,0,9,1,109,0,0,33,101,24731,565417,854750,4394
eficiencia,Eficiencia presupuestaria,70,C019,LAS HIJUELAS SUR - LIBERTADOR BERNARDO OHIGGINS,Comunal,102,0.3805944631024837,0,0,0,14,1,109,0,0,33,137,24868,565417,854750,4408
eficiencia,Eficiencia presupuestaria,71,I18,NUEVA IMPERIAL,Intercomunal,72,0.3802394125326096,0,0,0,72,1,109,0,0,33,290,25158,565417,854750,4480
eficiencia,Eficiencia presupuestaria,72,C013,HEROES DE LA CONCEPCION,Comunal,67,0.3800723800507236,0,0,0,6,1,109,0,0,33,87,25245,565417,854750,4486
eficiencia,Eficiencia presupuestaria,73,C012,GABRIELA ORIENTE,Comunal,62,0.37939780534986434,0,0,0,22,1,109,0,0,33,134,25379,565417,854750,4508
eficiencia,Eficiencia presupuestaria,74,I15,MARTINEZ DE ROZAS,Intercomunal,29,0.3792600598010713,0,0,0,264,1,109,0,0,33,640,26019,565417,854750,4772
eficiencia,Eficiencia presupuestaria,75,C020,LATINOAMERICA - PINTOR MURILLO - FRANCISCO TOLEDO,Comunal,71,0.3782983176056444,0,0,0,31,1,109,0,0,33,144,26163,565417,854750,4803
eficiencia,Eficiencia presupuestaria,76,C042,PRINCIPE DE GALES,Comunal,73,0.3773982187855591,0,0,0,11,1,109,0,0,33,190,26353,565417,854750,4814
eficiencia,Eficiencia presupuestaria,77,C045,PORTO ALEGRE,Comunal,117,0.37737424519376617,0,0,0,22,2,108,-1,1,34,125,26478,565417,854750,4836
eficiencia,Eficiencia presupuestaria,78,C033,OBSERVATORIO,Comunal,94,0.377071013816315,0,0,0,42,1,108,0,0,34,207,26685,565417,854750,4878
eficiencia,Eficiencia presupuestaria,79,C002,CAPITAN IGNACIO CARRERA PINTO,Comunal,74,0.37696512882443767,4714,0,0,25,0,109,1,-1,33,162,26847,570131,854750,4903
eficiencia,Eficiencia presupuestaria,80,C069,LOS OLMOS,Comunal,80,0.37790812262328777,9256,0,0,42,1,109,0,0,33,167,27014,579387,854750,4945
eficiencia,Eficiencia presupuestaria,81,C072,COVADONGA,Comunal,106,0.3762139347282758,0,0,0,13,1,109,0,0,33,143,27157,579387,854750,4958
eficiencia,Eficiencia presupuestaria,82,C030,MAULE,Comunal,76,0.3756947366041488,0,0,0,47,1,109,0,0,33,185,27342,579387,854750,5005
eficiencia,Eficiencia presupuestaria,83,C088,ÑUBLE,Comunal,77,0.3748538236954514,0,0,0,41,1,109,0,0,33,207,27549,579387,854750,5046
eficiencia,Eficiencia presupuestaria,84,C079,LAS AMERICAS,Comunal,101,0.3745128025339227,0,0,0,8,1,109,0,0,33,137,27686,579387,854750,5054
eficiencia,Eficiencia presupuestaria,85,C061,EL PINAR,Comunal,32,0.3744424073226252,0,0,0,32,1,109,0,0,33,222,27908,579387,854750,5086
eficiencia,Eficiencia presupuestaria,86,C074,URETA COX,Comunal,57,0.3732299260996158,0,0,0,27,1,109,0,0,33,161,28069,579387,854750,5113
eficiencia,Eficiencia presupuestaria,87,C024,LOS ARRAYANES - LOS COPIHUES,Comunal,27,0.37302442961797155,0,0,0,53,1,109,0,0,33,259,28328,579387,854750,5166
eficiencia,Eficiencia presupuestaria,88,C062,CORONA SUECA,Comunal,91,0.3722582153807239,0,0,0,53,1,109,0,0,33,280,28608,579387,854750,5219
eficiencia,Eficiencia presupuestaria,89,C071,BARROS ARANA,Comunal,97,0.3718299107869437,0,0,0,15,1,109,0,0,33,177,28785,579387,854750,5234
eficiencia,Eficiencia presupuestaria,90,C032,OBISPO MANUEL UMAÑA,Comunal,38,0.37109117038801315,0,0,0,26,1,109,0,0,33,251,29036,579387,854750,5260
eficiencia,Eficiencia presupuestaria,91,C065,NUEVA SAN MARTIN,Comunal,56,0.37021892701393894,0,0,0,16,1,109,0,0,33,179,29215,579387,854750,5276
eficiencia,Eficiencia presupuestaria,92,C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,Comunal,17,0.36751336289820336,0,0,0,31,1,109,0,0,33,220,29435,579387,854750,5307
eficiencia,Eficiencia presupuestaria,93,C044,LOS CERRILLOS,Comunal,39,0.3672016609758354,0,0,0,12,1,109,0,0,33,196,29631,579387,854750,5319
eficiencia,Eficiencia presupuestaria,94,C058,ANTONIO EBNER-BARROS ARANA,Comunal,34,0.36503798104953045,0,0,0,145,1,109,0,0,33,341,29972,579387,854750,5464
eficiencia,Eficiencia presupuestaria,95,C051,JOSE MIGUEL INFANTE - DOMINGO STA MARIA,Comunal,113,0.3649311350459668,0,0,0,44,1,109,0,0,33,235,30207,579387,854750,5508
eficiencia,Eficiencia presupuestaria,96,C087,SALVADOR GUTIERREZ,Comunal,48,0.36481633920808076,0,0,0,14,1,109,0,0,33,81,30288,579387,854750,5522
eficiencia,Eficiencia presupuestaria,97,C007,EDUARDO CASTILLO VELASCO,Comunal,87,0.3645387109457373,0,0,0,75,1,109,0,0,33,409,30697,579387,854750,5597
eficiencia,Eficiencia presupuestaria,98,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,112,0.36369183899282376,2119,18003,9133,151,3,107,-2,2,35,1435,32132,581506,863883,5748
eficiencia,Eficiencia presupuestaria,99,C054,VICTORIA,Comunal,104,0.3627672288822758,0,0,0,29,1,107,0,0,35,249,32381,581506,863883,5777
eficiencia,Eficiencia presupuestaria,100,C048,GENERAL ARRIAGADA,Comunal,90,0.3625950736399261,0,0,0,47,1,107,0,0,35,148,32529,581506,863883,5824
eficiencia,Eficiencia presupuestaria,101,C023,AVENIDA DORSAL,Comunal,36,0.3621677256537836,0,0,0,49,1,107,0,0,35,308,32837,581506,863883,5873
eficiencia,Eficiencia presupuestaria,102,C081,SAN GREGORIO - DIEGO MEZA,Comunal,30,0.36139760545768695,0,0,0,36,1,107,0,0,35,246,33083,581506,863883,5909
eficiencia,Eficiencia presupuestaria,103,C011,EYZAGUIRRE,Comunal,95,0.3590813749255513,0,0,0,34,1,107,0,0,35,284,33367,581506,863883,5943
eficiencia,Eficiencia presupuestaria,104,C041,VISTA HERMOSA,Comunal,37,0.35849803930731616,0,0,0,13,1,107,0,0,35,114,33481,581506,863883,5956
eficiencia,Eficiencia presupuestaria,105,C027,LOS PRESIDENTES,Comunal,93,0.3580325635061845,0,0,0,17,1,107,0,0,35,254,33735,581506,863883,5973
eficiencia,Eficiencia presupuestaria,106,I07,EL GUANACO,Intercomunal,31,0.35660198545058297,0,0,0,96,1,107,0,0,35,443,34178,581506,863883,6069
eficiencia,Eficiencia presupuestaria,107,I02,CARLOS VALDOVINOS,Intercomunal,47,0.3563642457211299,0,0,0,110,1,107,0,0,35,687,34865,581506,863883,6179
eficiencia,Eficiencia presupuestaria,108,C047,VIOLETA PARRA,Comunal,96,0.354710019762379,0,0,0,93,1,107,0,0,35,240,35105,581506,863883,6272
