id,nombre,escala,rank_min,rank_max,rank_range,rank_mean,rank_median,rank_sd,top10_count,top20_count,top30_count,best_scenario,best_scenario_label,worst_scenario,worst_scenario_label
C043,NEPTUNO,Comunal,34,61,27,50.416666666666664,51.0,7.204840194079409,0,0,0,eficiencia,Eficiencia,demanda,Demanda
I01,BARÓN DE JURAS REALES,Intercomunal,11,38,27,19.25,18.0,6.179603547154137,0,10,11,fractal_alameda,Fractal,equidad,Equidad
C034,PEDRO LEON UGALDE,Comunal,67,93,26,79,81.5,7.1297498787358125,0,0,0,eficiencia,Eficiencia,seguridad,Seguridad
C028,MADRID,Comunal,66,90,24,78.41666666666667,81.0,6.512274734854344,0,0,0,eficiencia,Eficiencia,seguridad,Seguridad
C068,SAN CARLOS,Comunal,5,28,23,10.166666666666666,8.5,5.654398484562458,10,11,12,demanda,Demanda,continuidad,Continuidad
C065,NUEVA SAN MARTIN,Comunal,83,105,22,98.83333333333333,103.0,7.278201853632683,0,0,0,seguridad,Seguridad,ciclistas_biogeme,Logit
C061,EL PINAR,Comunal,63,85,22,71.08333333333333,71.5,7.181670341145498,0,0,0,equidad,Equidad,eficiencia,Eficiencia
C087,SALVADOR GUTIERREZ,Comunal,96,118,22,113.16666666666667,116.0,6.202598021976132,0,0,0,eficiencia,Eficiencia,ponderacion_rmc,RMC
C074,URETA COX,Comunal,85,106,21,96.66666666666667,98.5,6.342099196813483,0,0,0,equidad,Equidad,seguridad,Seguridad
C089,J J PEREZ,Comunal,19,40,21,25.833333333333332,24.0,5.669117117231649,0,2,10,equidad,Equidad,ciclistas_biogeme,Logit
C046,EUCALIPTOS,Comunal,20,41,21,26.916666666666668,25.5,5.648869110027442,0,2,9,equidad,Equidad,ciclistas_biogeme,Logit
C052,BAQUEDANO - POSTALES ORIENTE,Comunal,21,42,21,28,26.5,5.612486080160912,0,0,9,equidad,Equidad,ciclistas_biogeme,Logit
I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,7,28,21,17.083333333333332,17.0,5.55965126804031,1,9,12,ponderacion_rmc,RMC,equidad,Equidad
C078,WALDO TAFF,Comunal,57,78,21,63.25,62.5,5.539629951540085,0,0,0,fractal_alameda,Fractal,seguridad,Seguridad
EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,2,23,21,13.166666666666666,14.0,5.047001309908907,3,11,12,eficiencia,Eficiencia,equidad,Equidad
C071,BARROS ARANA,Comunal,83,102,19,93.25,94.5,5.448623679425842,0,0,0,equidad,Equidad,ciclistas_biogeme,Logit
I29,SANTA ROSA,Intercomunal,14,33,19,27.5,29.0,5.423713365090993,0,2,8,equidad,Equidad,ponderacion_rmc,RMC
C086,LA ESTRELLA,Comunal,21,40,19,23.583333333333332,22.0,5.024246764994286,0,0,11,demanda,Demanda,equidad,Equidad
C081,SAN GREGORIO - DIEGO MEZA,Comunal,84,102,18,94.75,97.5,6.622247856027942,0,0,0,equidad,Equidad,eficiencia,Eficiencia
C054,VICTORIA,Comunal,82,100,18,93.16666666666667,95.5,5.639641438562877,0,0,0,equidad,Equidad,seguridad,Seguridad
C088,ÑUBLE,Comunal,65,83,18,73.58333333333333,75.0,5.6044377257867914,0,0,0,intermodal,Intermodal,eficiencia,Eficiencia
I26,SAN PABLO,Intercomunal,1,19,18,4.75,3.0,4.8498281756504875,11,12,12,eficiencia,Eficiencia,continuidad,Continuidad
C066,CUATRO PONIENTE,Comunal,1,18,17,6.583333333333333,4.0,5.707572942055922,8,12,12,equidad,Equidad,fractal_alameda,Fractal
C033,OBSERVATORIO,Comunal,61,78,17,67.75,69.0,4.798003056828261,0,0,0,equidad,Equidad,eficiencia,Eficiencia
C008,EL CERRO,Comunal,96,112,16,107.33333333333333,109.5,5.022173057773121,0,0,0,equidad,Equidad,educacion,Educación
I03,CARRASCAL,Intercomunal,30,46,16,34.583333333333336,32.5,4.8383594556649285,0,0,3,ciclistas_biogeme,Logit,equidad,Equidad
C027,LOS PRESIDENTES,Comunal,95,111,16,106.83333333333333,108.5,4.543004390146336,0,0,0,equidad,Equidad,demanda,Demanda
C017,LA PARINACOTA,Comunal,106,122,16,117.16666666666667,118.0,3.7155828016013257,0,0,0,equidad,Equidad,eficiencia,Eficiencia
C005,CORONEL ALEJANDRO SEPULVEDA,Comunal,64,79,15,70.83333333333333,71.0,5.413460589637238,0,0,0,equidad,Equidad,intermodal,Intermodal
C041,VISTA HERMOSA,Comunal,104,119,15,115,117.0,4.795831523312719,0,0,0,eficiencia,Eficiencia,ponderacion_rmc,RMC
C083,ORIENTAL-LAS PARCELAS,Comunal,47,62,15,55.666666666666664,56.0,4.459696053419884,0,0,0,eficiencia,Eficiencia,demanda,Demanda
C030,MAULE,Comunal,69,83,14,77.75,80.0,4.95185150558186,0,0,0,equidad,Equidad,demanda,Demanda
C014,JOSE DOMINGO CAÑAS,Comunal,42,56,14,49.083333333333336,50.0,4.751461763382811,0,0,0,equidad,Equidad,integracion,Integración
I11,JOSE JOAQUIN PEREZ,Intercomunal,3,17,14,7.666666666666667,6.0,4.6785562825394,8,12,12,ponderacion_rmc,RMC,intermodal,Intermodal
EP-I10,GRAN AVENIDA,Intercomunal,6,20,14,14.25,15.0,4.639055219905593,2,12,12,equidad,Equidad,intermodal,Intermodal
C090,SANTO DOMINGO,Comunal,44,57,13,50.416666666666664,50.5,4.251633672941366,0,0,0,intermodal,Intermodal,demanda,Demanda
I22,PEDRO FONTOVA,Intercomunal,3,16,13,8.666666666666666,9.5,4.0483192671637065,8,12,12,integracion,Integración,equidad,Equidad
I30,WALKER - HUALLE - AGUIRRE,Intercomunal,3,14,11,7.416666666666667,7.5,3.121386800054674,10,12,12,demanda,Demanda,ciclistas_biogeme,Logit
I16,MATTA-VESPUCIO NORTE,Intercomunal,2,12,10,6.583333333333333,6.5,3.6391009268163415,10,12,12,integracion,Integración,fractal_alameda,Fractal
C060,ROJAS MAGALLANES,Comunal,25,35,10,32,34.0,3.4399612400917157,0,0,4,equidad,Equidad,demanda,Demanda
I28,SANTA RAQUEL,Intercomunal,26,36,10,33,35.0,3.4399612400917157,0,0,3,equidad,Equidad,demanda,Demanda
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,1,10,9,2.4166666666666665,1.0,3.1743328257901515,12,12,12,ponderacion_rmc,RMC,equidad,Equidad
I04,DEL FERROCARRIL,Intercomunal,6,15,9,10.333333333333334,11.0,3.064129385141706,6,12,12,continuidad,Continuidad,equidad,Equidad
C073,LOS MORROS,Comunal,115,124,9,121.33333333333333,121.0,2.4608038433722332,0,0,0,equidad,Equidad,ponderacion_rmc,RMC
I27,SANTA CECILIA - NONATO COO,Intercomunal,11,19,8,16.333333333333332,16.0,2.094967514996089,0,12,12,equidad,Equidad,ciclistas_biogeme,Logit
I21,PEDRO DE VALDIVIA,Intercomunal,13,17,4,14.333333333333334,14.0,1.4337208778404378,0,12,12,ponderacion_rmc,RMC,equidad,Equidad
C018,LA PRIMAVERA,Comunal,119,123,4,121.75,122.0,1.3616778865306827,0,0,0,fractal_alameda,Fractal,equidad,Equidad
C016,JUANITA,Comunal,119,123,4,121.58333333333333,122.0,1.114924013354971,0,0,0,eficiencia,Eficiencia,balanceado,Balanceado
C025,LOS DURAZNOS,Comunal,121,124,3,123.33333333333333,124.0,1.1055415967851332,0,0,0,fractal_alameda,Fractal,balanceado,Balanceado
