scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
equidad,Equidad territorial,24,C035,PRODIVENCIA,Comunal,62,0.564726256649744,0,11942,7334,2,2,119,-1,1,23,33,15887,448053,728057,2489
equidad,Equidad territorial,25,C060,ROJAS MAGALLANES,Comunal,38,0.455563591372717,6013,6013,3413,66,1,119,0,0,23,395,16282,454066,731470,2555
equidad,Equidad territorial,26,I28,SANTA RAQUEL,Intercomunal,46,0.45953202842032725,14676,14676,7884,66,1,119,0,0,23,300,16582,468742,739354,2621
equidad,Equidad territorial,27,C053,CONDELL,Comunal,45,0.4658188830350254,5706,5706,3325,76,1,119,0,0,23,280,16862,474448,742679,2697
equidad,Equidad territorial,28,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,15,0.5035888410021327,22368,22368,11753,138,1,119,0,0,23,1031,17893,496816,754432,2835
equidad,Equidad territorial,29,EP-I33,LA CHIMBA,Intercomunal,87,0.48089888381327794,4379,11547,5001,198,2,118,-1,1,24,971,18864,501195,759433,3033
equidad,Equidad territorial,30,C082,CAUPOLICAN,Comunal,95,0.5172765137172206,2416,2416,843,12,1,118,0,0,24,118,18982,503611,760276,3045
equidad,Equidad territorial,31,C006,DOMINGO TOCORNAL,Comunal,21,0.4511314970928543,0,4416,2578,70,2,117,-1,1,25,439,19421,503611,762854,3115
equidad,Equidad territorial,32,C029,MARIA ELENA,Comunal,33,0.44830260934382044,7474,7474,4249,55,1,117,0,0,25,270,19691,511085,767103,3170
equidad,Equidad territorial,33,EP-I34,VICUÑA MACKENNA,Intercomunal,32,0.4365124528771578,0,0,0,271,2,116,-1,1,26,539,20230,511085,767103,3441
equidad,Equidad territorial,34,C063,LONGITUDINAL,Comunal,49,0.4363427518990343,13349,24325,14524,38,1,116,0,0,26,192,20422,524434,781627,3479
equidad,Equidad territorial,35,I08,GENERAL OSCAR BONILLA,Intercomunal,10,0.4878193334055325,4898,13286,7693,87,1,116,0,0,26,595,21017,529332,789320,3566
equidad,Equidad territorial,36,C003,CONCHA Y TORO,Comunal,35,0.43042422779642336,0,2169,1049,6,2,115,-1,1,27,245,21262,529332,790369,3572
