scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
continuidad,Continuidad de red,14,EP-I10,GRAN AVENIDA,Intercomunal,15,0.5312440657873074,15947,21156,11584,124,2,122,-1,1,20,913,10907,332849,638048,1482
continuidad,Continuidad de red,15,I27,SANTA CECILIA - NONATO COO,Intercomunal,51,0.5190458040299067,33178,33178,19286,124,1,122,0,0,20,644,11551,366027,657334,1606
continuidad,Continuidad de red,16,I10,GRAN AVENIDA,Intercomunal,37,0.5076883109654652,27512,27512,14534,80,1,122,0,0,20,448,11999,393539,671868,1686
continuidad,Continuidad de red,17,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,3,0.49727120511671113,0,32542,14518,157,2,121,-1,1,21,341,12340,393539,686386,1843
continuidad,Continuidad de red,18,I01,BARÓN DE JURAS REALES,Intercomunal,14,0.45622728309821536,16219,16219,9010,123,1,121,0,0,21,781,13121,409758,695396,1966
continuidad,Continuidad de red,19,I26,SAN PABLO,Intercomunal,4,0.4670317952732974,17407,17407,10130,157,1,121,0,0,21,883,14004,427165,705526,2123
continuidad,Continuidad de red,20,EP-I34,VICUÑA MACKENNA,Intercomunal,17,0.4486749522651728,0,0,0,271,2,120,-1,1,22,539,14543,427165,705526,2394
continuidad,Continuidad de red,21,C086,LA ESTRELLA,Comunal,44,0.42980249666499953,5624,26432,12363,33,2,119,-1,1,23,185,14728,432789,717889,2427
continuidad,Continuidad de red,22,EP-I33,LA CHIMBA,Intercomunal,33,0.5647923938557727,4379,308831,19285,198,2,118,-1,1,24,971,15699,437168,737174,2625
continuidad,Continuidad de red,23,C089,J J PEREZ,Comunal,56,0.45749689676111416,0,9565,5573,19,2,117,-1,1,25,198,15897,437168,742747,2644
continuidad,Continuidad de red,24,C046,EUCALIPTOS,Comunal,79,0.4583805552120648,16,7223,4212,30,2,116,-1,1,26,206,16103,437184,746959,2674
continuidad,Continuidad de red,25,I25,SAN FRANCISCO,Intercomunal,53,0.4447514146000822,29567,29567,15082,210,1,116,0,0,26,1001,17104,466751,762041,2884
continuidad,Continuidad de red,26,C052,BAQUEDANO - POSTALES ORIENTE,Comunal,78,0.4353827146201317,12471,12471,7274,36,1,116,0,0,26,259,17363,479222,769315,2920
continuidad,Continuidad de red,27,C035,PRODIVENCIA,Comunal,52,0.4649420391483272,0,11942,7334,2,2,115,-1,1,27,33,17396,479222,776649,2922
continuidad,Continuidad de red,28,C068,SAN CARLOS,Comunal,7,0.43037621423744993,13595,13595,7940,72,1,115,0,0,27,587,17983,492817,784589,2994
continuidad,Continuidad de red,29,C070,MENDOZA (EX-CORONEL ROBLES),Comunal,30,0.4240095464861264,3082,11698,5585,47,2,114,-1,1,28,336,18319,495899,790174,3041
continuidad,Continuidad de red,30,I03,CARRASCAL,Intercomunal,90,0.4607322748860568,0,16584,9569,61,2,113,-1,1,29,442,18761,495899,799743,3102
continuidad,Continuidad de red,31,C063,LONGITUDINAL,Comunal,73,0.41705998727346905,13349,24325,14704,38,1,113,0,0,29,192,18953,509248,814447,3140
continuidad,Continuidad de red,32,I29,SANTA ROSA,Intercomunal,25,0.416868022030729,5202,5202,2827,131,2,112,-1,1,30,710,19663,514450,817274,3271
continuidad,Continuidad de red,33,I13,LO ESPEJO-RIQUELME,Intercomunal,47,0.3876956572968654,0,4941,1896,126,2,111,-1,1,31,700,20363,514450,819170,3397
continuidad,Continuidad de red,34,I06,DIAGONAL ORIENTE,Intercomunal,46,0.38017308522912463,4804,4804,2894,254,1,111,0,0,31,1138,21501,519254,822064,3651
continuidad,Continuidad de red,35,C060,ROJAS MAGALLANES,Comunal,31,0.38005367139201834,6013,6013,3413,66,1,111,0,0,31,395,21896,525267,825477,3717
