id,nombre,escala,scenario,scenario_label,rank
EP-I10,GRAN AVENIDA,Intercomunal,ciclistas_biogeme,Logit,18
EP-I10,GRAN AVENIDA,Intercomunal,fractal_alameda,Fractal,15
EP-I10,GRAN AVENIDA,Intercomunal,continuidad,Continuidad,14
EP-I10,GRAN AVENIDA,Intercomunal,eficiencia,Eficiencia,11
EP-I10,GRAN AVENIDA,Intercomunal,educacion,Educación,11
EP-I10,GRAN AVENIDA,Intercomunal,integracion,Integración,19
EP-I10,GRAN AVENIDA,Intercomunal,seguridad,Seguridad,6
EP-I10,GRAN AVENIDA,Intercomunal,intermodal,Intermodal,20
I21,PEDRO DE VALDIVIA,Intercomunal,ponderacion_rmc,RMC,13
I21,PEDRO DE VALDIVIA,Intercomunal,balanceado,Balanceado,14
I21,PEDRO DE VALDIVIA,Intercomunal,equidad,Equidad,17
I21,PEDRO DE VALDIVIA,Intercomunal,demanda,Demanda,13
I21,PEDRO DE VALDIVIA,Intercomunal,ciclistas_biogeme,Logit,17
I21,PEDRO DE VALDIVIA,Intercomunal,fractal_alameda,Fractal,14
I21,PEDRO DE VALDIVIA,Intercomunal,continuidad,Continuidad,13
I21,PEDRO DE VALDIVIA,Intercomunal,eficiencia,Eficiencia,14
I21,PEDRO DE VALDIVIA,Intercomunal,educacion,Educación,14
I21,PEDRO DE VALDIVIA,Intercomunal,integracion,Integración,13
I21,PEDRO DE VALDIVIA,Intercomunal,seguridad,Seguridad,16
I21,PEDRO DE VALDIVIA,Intercomunal,intermodal,Intermodal,14
I27,SANTA CECILIA - NONATO COO,Intercomunal,ponderacion_rmc,RMC,17
I27,SANTA CECILIA - NONATO COO,Intercomunal,balanceado,Balanceado,16
I27,SANTA CECILIA - NONATO COO,Intercomunal,equidad,Equidad,11
I27,SANTA CECILIA - NONATO COO,Intercomunal,demanda,Demanda,16
I27,SANTA CECILIA - NONATO COO,Intercomunal,ciclistas_biogeme,Logit,19
I27,SANTA CECILIA - NONATO COO,Intercomunal,fractal_alameda,Fractal,16
I27,SANTA CECILIA - NONATO COO,Intercomunal,continuidad,Continuidad,15
I27,SANTA CECILIA - NONATO COO,Intercomunal,eficiencia,Eficiencia,16
I27,SANTA CECILIA - NONATO COO,Intercomunal,educacion,Educación,15
I27,SANTA CECILIA - NONATO COO,Intercomunal,integracion,Integración,18
I27,SANTA CECILIA - NONATO COO,Intercomunal,seguridad,Seguridad,18
I27,SANTA CECILIA - NONATO COO,Intercomunal,intermodal,Intermodal,19
I19,PAC-LO ESPEJO-SN BDO,Intercomunal,ponderacion_rmc,RMC,11
I19,PAC-LO ESPEJO-SN BDO,Intercomunal,balanceado,Balanceado,10
I19,PAC-LO ESPEJO-SN BDO,Intercomunal,equidad,Equidad,4
I19,PAC-LO ESPEJO-SN BDO,Intercomunal,demanda,Demanda,6
