step,best_population_scenario,best_population_label,best_population_share,best_demand_scenario,best_demand_label,best_demand_share,best_components_scenario,best_components_label,best_components_share,best_joint_pd_scenario,best_joint_pd_label,best_joint_pd_index,best_joint_pdc_scenario,best_joint_pdc_label,best_joint_pdc_index
67,demanda,Demanda,0.963922309585339,demanda,Demanda,0.9994733272978248,balanceado,Balanceado,1.0285714285714285,demanda,Demanda,0.9816978184415819,demanda,Demanda,0.9973223551515308
68,demanda,Demanda,0.963922309585339,demanda,Demanda,0.9994733272978248,balanceado,Balanceado,1.0285714285714285,demanda,Demanda,0.9816978184415819,demanda,Demanda,0.9973223551515308
69,educacion,Educación,0.9871987763609735,demanda,Demanda,0.9994733272978248,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9921197757368256,demanda,Demanda,0.9973223551515308
70,educacion,Educación,0.9871987763609735,demanda,Demanda,0.9994733272978248,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9921197757368256,demanda,Demanda,0.9973223551515308
71,educacion,Educación,0.9871987763609735,demanda,Demanda,0.9994733272978248,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9921197757368256,demanda,Demanda,0.9973223551515308
72,educacion,Educación,0.9871987763609735,demanda,Demanda,0.9994733272978248,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9921197757368256,demanda,Demanda,0.9973223551515308
73,educacion,Educación,0.9871987763609735,demanda,Demanda,0.9994733272978248,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9921197757368256,demanda,Demanda,0.9973223551515308
74,educacion,Educación,0.9871987763609735,demanda,Demanda,0.9994733272978248,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9921197757368256,demanda,Demanda,0.9973223551515308
75,educacion,Educación,0.9871987763609735,demanda,Demanda,0.9994733272978248,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9921197757368256,demanda,Demanda,0.9973223551515308
76,educacion,Educación,0.9871987763609735,demanda,Demanda,0.9994733272978248,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9921197757368256,demanda,Demanda,0.9973223551515308
77,educacion,Educación,0.9871987763609735,demanda,Demanda,0.9994733272978248,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9921197757368256,demanda,Demanda,0.9973223551515308
78,educacion,Educación,0.9871987763609735,intermodal,Intermodal,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9921197757368256,demanda,Demanda,0.9973223551515308
79,educacion,Educación,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9921197757368256,continuidad,Continuidad,0.9973223557558514
80,educacion,Educación,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9921197757368256,continuidad,Continuidad,0.9973223557558514
81,educacion,Educación,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
82,educacion,Educación,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
83,educacion,Educación,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
84,educacion,Educación,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
85,educacion,Educación,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
86,educacion,Educación,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
87,educacion,Educación,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
88,educacion,Educación,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
89,educacion,Educación,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
90,educacion,Educación,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
91,educacion,Educación,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
92,educacion,Educación,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
