scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
integracion,Integración metropolitana,90,C049,FEDERICO ERRÁZURIZ (EX SERRANO),Comunal,77,0.2415096271997751,1527,3911,1747,57,1,106,0,0,36,332,37354,578524,871053,7004
integracion,Integración metropolitana,91,C039,TUPUNGATO,Comunal,115,0.24143129743748432,0,0,0,21,1,106,0,0,36,63,37417,578524,871053,7025
integracion,Integración metropolitana,92,C042,PRINCIPE DE GALES,Comunal,70,0.24096026602815263,0,0,0,11,1,106,0,0,36,190,37607,578524,871053,7036
integracion,Integración metropolitana,93,C011,EYZAGUIRRE,Comunal,85,0.24071066802614796,0,0,0,31,1,106,0,0,36,284,37891,578524,871053,7067
integracion,Integración metropolitana,94,C072,COVADONGA,Comunal,114,0.24076805631463546,0,0,0,14,1,106,0,0,36,143,38034,578524,871053,7081
integracion,Integración metropolitana,95,C055,ARTURO PRAT,Comunal,120,0.24090651628844806,0,0,0,12,1,106,0,0,36,101,38135,578524,871053,7093
integracion,Integración metropolitana,96,C054,VICTORIA,Comunal,95,0.24081817227897942,0,0,0,28,1,106,0,0,36,249,38384,578524,871053,7121
integracion,Integración metropolitana,97,C071,BARROS ARANA,Comunal,97,0.24085685443467697,0,0,0,17,1,106,0,0,36,177,38561,578524,871053,7138
integracion,Integración metropolitana,98,C077,RICARDO VIAL,Comunal,111,0.24055754999186715,0,0,0,10,1,106,0,0,36,54,38615,578524,871053,7148
integracion,Integración metropolitana,99,C038,TALCAHUANO - SANTA INES - LOS EDILES,Comunal,107,0.24010363826406725,0,0,0,21,1,106,0,0,36,90,38705,578524,871053,7169
integracion,Integración metropolitana,100,C081,SAN GREGORIO - DIEGO MEZA,Comunal,34,0.24002950552431868,0,0,0,36,1,106,0,0,36,246,38951,578524,871053,7205
integracion,Integración metropolitana,101,C074,URETA COX,Comunal,56,0.2402759041556849,0,0,0,29,1,106,0,0,36,161,39112,578524,871053,7234
integracion,Integración metropolitana,102,C036,RIO REFUGIO - SALAR SURIRE,Comunal,109,0.23986338848983108,0,0,0,3,1,106,0,0,36,45,39157,578524,871053,7237
integracion,Integración metropolitana,103,C065,NUEVA SAN MARTIN,Comunal,82,0.2394655191296581,0,0,0,16,1,106,0,0,36,179,39336,578524,871053,7253
integracion,Integración metropolitana,104,C031,NECOCHEA,Comunal,108,0.2394118221961378,0,0,0,10,1,106,0,0,36,56,39392,578524,871053,7263
integracion,Integración metropolitana,105,C044,LOS CERRILLOS,Comunal,48,0.2391012765436648,0,0,0,12,1,106,0,0,36,196,39588,578524,871053,7275
integracion,Integración metropolitana,106,C064,SILVA CARVALLO - SANTA ELENA,Comunal,80,0.23847884679879733,0,0,0,51,1,106,0,0,36,545,40133,578524,871053,7326
integracion,Integración metropolitana,107,C079,LAS AMERICAS,Comunal,103,0.23829463057369893,0,0,0,8,1,106,0,0,36,137,40270,578524,871053,7334
integracion,Integración metropolitana,108,C013,HEROES DE LA CONCEPCION,Comunal,73,0.23758749280186073,0,0,0,6,1,106,0,0,36,87,40357,578524,871053,7340
integracion,Integración metropolitana,109,C027,LOS PRESIDENTES,Comunal,74,0.2367017749355438,0,0,0,17,1,106,0,0,36,254,40611,578524,871053,7357
integracion,Integración metropolitana,110,C008,EL CERRO,Comunal,116,0.23660589523703243,0,0,0,22,1,106,0,0,36,206,40817,578524,871053,7379
integracion,Integración metropolitana,111,C004,CONSISTORIAL,Comunal,83,0.23591643090057463,0,0,0,51,1,106,0,0,36,563,41380,578524,871053,7430
integracion,Integración metropolitana,112,C012,GABRIELA ORIENTE,Comunal,98,0.2173196654576639,0,0,0,22,1,106,0,0,36,134,41514,578524,871053,7452
integracion,Integración metropolitana,113,C048,GENERAL ARRIAGADA,Comunal,93,0.21674763074053222,0,0,0,47,1,106,0,0,36,148,41662,578524,871053,7499
integracion,Integración metropolitana,114,C087,SALVADOR GUTIERREZ,Comunal,54,0.21090783847306804,0,0,0,14,1,106,0,0,36,81,41743,578524,871053,7513
integracion,Integración metropolitana,115,C041,VISTA HERMOSA,Comunal,44,0.20889597280395397,0,0,0,13,1,106,0,0,36,114,41857,578524,871053,7526
integracion,Integración metropolitana,116,C017,LA PARINACOTA,Comunal,91,0.20417808515392913,2096,0,0,6,1,106,0,0,36,465,42322,580620,871053,7532
integracion,Integración metropolitana,117,C002,CAPITAN IGNACIO CARRERA PINTO,Comunal,101,0.20268839495511543,4714,0,0,25,0,107,1,-1,35,162,42484,585334,871053,7557
integracion,Integración metropolitana,118,C069,LOS OLMOS,Comunal,104,0.22736949786841887,9256,0,0,42,1,107,0,0,35,167,42651,594590,871053,7599
integracion,Integración metropolitana,119,C045,PORTO ALEGRE,Comunal,117,0.19367288081558173,400,400,200,22,2,106,-1,1,36,125,42776,594990,871253,7621
integracion,Integración metropolitana,120,C021,LAUTARO,Comunal,118,0.168409093742395,258,258,129,16,1,106,0,0,36,342,43118,595248,871382,7637
integracion,Integración metropolitana,121,C073,LOS MORROS,Comunal,121,0.14515003172653843,4670,0,0,17,0,107,1,-1,35,335,43453,599918,871382,7654
integracion,Integración metropolitana,122,C016,JUANITA,Comunal,124,0.14428288479802248,21,21,11,26,1,107,0,0,35,123,43576,599939,871393,7680
integracion,Integración metropolitana,123,C018,LA PRIMAVERA,Comunal,122,0.24059179352155963,0,0,0,37,1,107,0,0,35,183,43759,599939,871393,7717
integracion,Integración metropolitana,124,C025,LOS DURAZNOS,Comunal,123,0.14039530653933244,238,238,119,2,1,107,0,0,35,128,43887,600177,871512,7719
