scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
intermodal,Intermodalidad bici-metro,13,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,23,0.5455912538799355,9981,617875,47606,147,3,122,-2,2,20,1435,9482,263936,584564,1601
intermodal,Intermodalidad bici-metro,14,I21,PEDRO DE VALDIVIA,Intercomunal,19,0.488607941267324,14501,740377,25388,75,1,122,0,0,20,474,9956,278437,609952,1676
intermodal,Intermodalidad bici-metro,15,C066,CUATRO PONIENTE,Comunal,7,0.5160191648222675,49812,49812,30579,101,1,122,0,0,20,676,10632,328249,640531,1777
intermodal,Intermodalidad bici-metro,16,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,20,0.44233078427195627,38793,38793,20508,137,1,122,0,0,20,1031,11663,367042,661039,1914
intermodal,Intermodalidad bici-metro,17,I11,JOSE JOAQUIN PEREZ,Intercomunal,13,0.42951233240473374,28111,63003,20732,107,1,122,0,0,20,690,12353,395153,681771,2021
intermodal,Intermodalidad bici-metro,18,I01,BARÓN DE JURAS REALES,Intercomunal,15,0.4383933439808344,16219,16219,9010,123,1,122,0,0,20,781,13134,411372,690781,2144
intermodal,Intermodalidad bici-metro,19,I27,SANTA CECILIA - NONATO COO,Intercomunal,37,0.43059595239344617,24624,24624,14290,124,1,122,0,0,20,644,13778,435996,705071,2268
intermodal,Intermodalidad bici-metro,20,EP-I10,GRAN AVENIDA,Intercomunal,12,0.4193487038025029,4764,9973,5817,127,2,121,-1,1,21,913,14691,440760,710888,2395
intermodal,Intermodalidad bici-metro,21,EP-I33,LA CHIMBA,Intercomunal,27,0.3611917348663162,4379,11547,5001,198,2,120,-1,1,22,971,15662,445139,715889,2593
intermodal,Intermodalidad bici-metro,22,C086,LA ESTRELLA,Comunal,42,0.42015425749691476,5624,308831,26647,33,2,119,-1,1,23,185,15847,450763,742536,2626
intermodal,Intermodalidad bici-metro,23,I25,SAN FRANCISCO,Intercomunal,54,0.386611452322751,29567,29567,15082,210,1,119,0,0,23,1001,16848,480330,757618,2836
intermodal,Intermodalidad bici-metro,24,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,16,0.348252774447571,4221,4221,2516,109,1,119,0,0,23,644,17492,484551,760134,2945
intermodal,Intermodalidad bici-metro,25,C035,PRODIVENCIA,Comunal,58,0.397340493525616,0,11942,7334,2,2,118,-1,1,24,33,17525,484551,767468,2947
intermodal,Intermodalidad bici-metro,26,C063,LONGITUDINAL,Comunal,69,0.3581815869340948,13349,24325,14704,38,1,118,0,0,24,192,17717,497900,782172,2985
intermodal,Intermodalidad bici-metro,27,I29,SANTA ROSA,Intercomunal,29,0.3879845026182151,5202,5202,2827,131,2,117,-1,1,25,710,18427,503102,784999,3116
intermodal,Intermodalidad bici-metro,28,C089,J J PEREZ,Comunal,75,0.3296968140080771,0,9565,5573,19,2,116,-1,1,26,198,18625,503102,790572,3135
intermodal,Intermodalidad bici-metro,29,C046,EUCALIPTOS,Comunal,85,0.3306040366843865,16,7223,4212,30,2,115,-1,1,27,206,18831,503118,794784,3165
intermodal,Intermodalidad bici-metro,30,C052,BAQUEDANO - POSTALES ORIENTE,Comunal,76,0.35032625367666853,12471,12471,7274,36,1,115,0,0,27,259,19090,515589,802058,3201
intermodal,Intermodalidad bici-metro,31,C070,MENDOZA (EX-CORONEL ROBLES),Comunal,32,0.3286498010590898,3082,11698,5585,47,2,114,-1,1,28,336,19426,518671,807643,3248
intermodal,Intermodalidad bici-metro,32,I03,CARRASCAL,Intercomunal,97,0.3330184688830183,0,16584,9569,61,2,113,-1,1,29,442,19868,518671,817212,3309
intermodal,Intermodalidad bici-metro,33,I06,DIAGONAL ORIENTE,Intercomunal,43,0.3269777008352347,4804,4804,2894,254,1,113,0,0,29,1138,21006,523475,820106,3563
