scenario,scenario_label,metric,threshold_pct,step
integracion,Integración metropolitana,Conexión OD / demanda habilitada,95,35
integracion,Integración metropolitana,Conexión OD / demanda habilitada,99,45
integracion,Integración metropolitana,Conectividad topológica / reducción de componentes,50,11
integracion,Integración metropolitana,Conectividad topológica / reducción de componentes,75,29
integracion,Integración metropolitana,Conectividad topológica / reducción de componentes,90,43
integracion,Integración metropolitana,Conectividad topológica / reducción de componentes,95,49
integracion,Integración metropolitana,Conectividad topológica / reducción de componentes,99,52
seguridad,Seguridad vial,Población marginal acumulada,50,11
seguridad,Seguridad vial,Población marginal acumulada,75,24
seguridad,Seguridad vial,Población marginal acumulada,90,37
seguridad,Seguridad vial,Población marginal acumulada,95,51
seguridad,Seguridad vial,Población marginal acumulada,99,116
seguridad,Seguridad vial,Conexión OD / demanda habilitada,50,10
seguridad,Seguridad vial,Conexión OD / demanda habilitada,75,16
seguridad,Seguridad vial,Conexión OD / demanda habilitada,90,31
seguridad,Seguridad vial,Conexión OD / demanda habilitada,95,40
seguridad,Seguridad vial,Conexión OD / demanda habilitada,99,67
seguridad,Seguridad vial,Conectividad topológica / reducción de componentes,50,15
seguridad,Seguridad vial,Conectividad topológica / reducción de componentes,75,33
seguridad,Seguridad vial,Conectividad topológica / reducción de componentes,90,44
seguridad,Seguridad vial,Conectividad topológica / reducción de componentes,95,59
seguridad,Seguridad vial,Conectividad topológica / reducción de componentes,99,62
intermodal,Intermodalidad bici-metro,Población marginal acumulada,50,15
intermodal,Intermodalidad bici-metro,Población marginal acumulada,75,22
intermodal,Intermodalidad bici-metro,Población marginal acumulada,90,37
intermodal,Intermodalidad bici-metro,Población marginal acumulada,95,53
intermodal,Intermodalidad bici-metro,Población marginal acumulada,99,118
intermodal,Intermodalidad bici-metro,Conexión OD / demanda habilitada,50,10
intermodal,Intermodalidad bici-metro,Conexión OD / demanda habilitada,75,16
intermodal,Intermodalidad bici-metro,Conexión OD / demanda habilitada,90,27
intermodal,Intermodalidad bici-metro,Conexión OD / demanda habilitada,95,35
intermodal,Intermodalidad bici-metro,Conexión OD / demanda habilitada,99,59
intermodal,Intermodalidad bici-metro,Conectividad topológica / reducción de componentes,50,12
intermodal,Intermodalidad bici-metro,Conectividad topológica / reducción de componentes,75,29
intermodal,Intermodalidad bici-metro,Conectividad topológica / reducción de componentes,90,47
intermodal,Intermodalidad bici-metro,Conectividad topológica / reducción de componentes,95,59
intermodal,Intermodalidad bici-metro,Conectividad topológica / reducción de componentes,99,67
